File,Panjang,Keliling,Diameter,Luas,Faktor bentuk,ASM 0,ASM 45,ASM 90,ASM 135,Kontras 0,Kontras 45,Kontras 90,Kontras 135,IDM 0,IDM 45,IDM 90,IDM 135,Entropy 0,Entropy 45,Entropy 90,Entropy 135,Korelasi 0,Korelasi 45,Korelasi 90,Korelasi 135,Jenis
Gambar baru\Avicennia alba\avicennia_alba72.jpg,362.04972034238614,3204.0083496570587,306.7487640240404,258058.0,3.165629520914487,0.0009572391645215198,0.0008357603597684509,0.000977515352564329,0.0008239812118844988,21.712332589286063,31.792138510499193,15.514245199364025,31.86652548052465,0.34309668833158985,0.305792342281803,0.3499005171261611,0.3056370017550045,10.686356096523486,10.924530798586774,10.622246034688162,10.965233821429136,0.9902974225632825,0.9857886278936897,0.9930701455143867,0.985755431597992,1
Gambar baru\Rhizophora mucronata\Rhizophora mucronata91.JPG,287.30819688968154,1259.910810828209,203.87037531413915,73559.0,1.717251578847394,0.5358785479187663,0.533344188043372,0.5352038812113417,0.5343502435298403,30.541019447162775,93.35767709222864,52.09995719178132,55.48509694739185,0.7997909029860043,0.7908576427320964,0.8036213413970605,0.7898640564464401,3.711590222643043,3.8020276584566806,3.6892216417980324,3.7972386524471613,0.9975606731037214,0.9925530715114522,0.9958387496824412,0.9955740806539235,6
Gambar baru\Senoratia alba\sonneratia_alba64 (2).JPG,271.64867016055865,1658.0012131929398,234.64867418760653,175819.5,1.2442074094566573,0.1178775509725493,0.11657081136066098,0.11799720428943751,0.11650278538706274,42.306499204990565,80.84313785562868,42.912927317759994,59.56958268388912,0.5488998040855719,0.5257854076638747,0.5584773267786554,0.5222515729378471,7.86976850275272,8.041640439503588,7.831820865411022,8.042910250154199,0.9954253589281081,0.9912464658682818,0.9953594803693897,0.9935499240991009,8
Gambar baru\Senoratia alba\sonneratia_alba14 (2).JPG,241.01452238402564,1400.964632987976,186.59999906842404,106878.0,1.4613564515602837,0.3646762661534326,0.3629680699937984,0.36532732653169814,0.3632009126749323,29.85462787426647,43.38171575629734,18.434346715998164,36.58741732759951,0.7199796642437655,0.7118012682419179,0.74335878703367,0.711860801320183,4.829332080009051,4.897001277855915,4.700363340483451,4.888146503618735,0.9956583847911502,0.9936959401146864,0.9973191672880752,0.9946832607733175,8
Gambar baru\Bruguiera cylindrica\Bruguiera cylindrica76.JPG,213.56497840235883,1005.3178834915161,150.91014492862544,50735.0,1.5852190683382197,0.6674930551502131,0.665416373308788,0.6665563142294036,0.6658213914942448,21.20313264432511,69.64413432852832,53.046890288650566,55.070637750314944,0.8973437068339033,0.8844190536730367,0.8982678935293211,0.8913772171940628,2.434867189968841,2.5218314676162024,2.4474650922865773,2.4807028156035815,0.998213704925925,0.9941417822860645,0.9955309717480435,0.9953676531599315,2
Gambar baru\Senoratia alba\sonneratia_alba42.jpg,361.33225707096784,2465.803164958954,300.6713367557941,259677.0,1.863260006055224,0.0005950587857720365,0.0005051236620680848,0.0007598377298650897,0.0005288913025946074,38.80838353106691,59.052404823816815,21.58357158145836,50.69357117964462,0.3121588724750309,0.27675722709474504,0.3716145415706293,0.2886241055173118,11.458614498920381,11.725513462729191,11.051509462128145,11.640118207153762,0.9886901061985157,0.982781185349944,0.9937099436461877,0.985218622489146,8
Gambar baru\Lumnitzora littorea\lumnitzera_littorea84.jpg,361.33225707096784,2160.357426404953,307.02375592694773,260956.0,1.4232266572066814,0.00031132775322034246,0.00027174913466443266,0.0004917921984841986,0.00028417571281996696,171.2970202421756,237.6110768570855,78.46668985445262,197.87369840035447,0.18730607696492899,0.1700506748612694,0.2715823064778883,0.17803965012586911,12.447051178869986,12.662813291919422,11.788630438871714,12.567317775805815,0.9369677458870219,0.9125645109309518,0.9711159620910357,0.9271856698484612,4
Gambar baru\Rhizophora apiculata\rhizophora_apiculata71 (2).jpg,361.33225707096784,2404.6904666423798,303.2895357626524,259894.0,1.7705665122346745,0.00045307579912529225,0.000412131602731713,0.0006342394202646326,0.00040776599307469055,272.0779759356685,356.1921561268505,147.6663443309722,357.65875207278805,0.24396644863367412,0.22511156487053316,0.30978396662683033,0.2264501502029094,12.424617696675854,12.573154153853844,11.879512266846396,12.619735091868762,0.9488567170780821,0.9331079548100496,0.9722707322272778,0.9328327154101236,5
Gambar baru\Xylocarpus granatum\xylocarpus_granatum42.jpg,361.33225707096784,2441.82754945755,299.03103042789456,260118.0,1.8241044733262881,0.0005962651031958088,0.0005716604925102082,0.0006732715915507433,0.000566304887764508,32.2724246269577,37.451863312410495,21.963792655333595,46.10379479245199,0.25469941586006944,0.24374682251391794,0.2789037747120161,0.240806460410378,11.446276804657842,11.521823070694078,11.21266234623339,11.57480425879023,0.9898416729511653,0.9882173322439516,0.9930866845943142,0.9854953360603749,9
Gambar baru\Lumnitzora littorea\lumnitzera_littorea35.jpg,362.0414340928397,3039.1311531066895,294.18983827655046,258785.0,2.840206526757593,0.0006685608485280258,0.0005911316083233388,0.0008045495008162194,0.0006111087139672449,58.156292043787786,84.28548833682457,36.44725798067556,73.85737646531662,0.28544335167043394,0.25906702591476083,0.32376220202288053,0.26402731908575183,11.449636165594693,11.687926957899386,11.1441091969878,11.606696185632059,0.9777126753620206,0.967663020205051,0.9860331705951735,0.9716638391028045,4
Gambar baru\Rhizophora mucronata\Rhizophora mucronata24.JPG,232.36178687555318,1038.9158635139465,163.0423914932165,48568.0,1.7684821126597687,0.6813410248247781,0.6791917321936706,0.6804397788307044,0.679766601421855,23.53171630381632,67.35781495934796,45.74734741927608,55.235971063223374,0.8816061133411405,0.8743249759275491,0.8807988037945104,0.8744126518538567,2.445732624207759,2.508214445411598,2.4591236193813812,2.501931136387067,0.9978669127083534,0.9939037570506593,0.9958531250272404,0.9950008488347306,6
Gambar baru\Senoratia alba\sonneratia_alba80 (2).JPG,242.7055829600959,1523.1311557292938,205.75213981876442,129009.0,1.4310167941323992,0.2699706253076359,0.2683354385113781,0.2698912527942106,0.26801199344558063,31.24246269569499,46.512455911244174,41.28069578644868,70.66475312211485,0.6750251001064262,0.6439893671585164,0.654038343086442,0.631374695122375,5.914843880708532,6.078429117129509,6.011428878534562,6.18708833658098,0.9955855501978808,0.9934300475789566,0.9941672938352972,0.9900185002756547,8
Gambar baru\Rhizophora apiculata\rhizophora_apiculata97 (2).jpg,360.6272313622475,2629.6437841653824,285.09911086056167,259471.5,2.120773646046274,0.0004542112851731857,0.00042914263164104137,0.0006268184804929792,0.0004161631392778832,806.458674779854,918.6282528023307,407.24673969545205,936.3222529018993,0.2461683181339792,0.23715971261073635,0.3110025450607626,0.23199783907633084,12.75785286992742,12.854520402193891,12.146071804228065,12.8928684541985,0.8894379626991714,0.8740973427637463,0.9441921591930823,0.8716733358309776,5
Gambar baru\Scyphyphora hydrophyllacea\scyphyphora_hydrophyllacea94.jpg,361.33225707096784,2145.043718099594,308.18181384517436,260954.0,1.4031318200835539,0.00028908185104125185,0.0002667100183044777,0.00036038770287823727,0.00025697395441541695,507.4264692392375,605.6096522301976,326.2195297211326,628.0623350860387,0.14931437749208376,0.13863748552716174,0.17699118738696895,0.13642986265591703,12.848712907361039,12.977291639946689,12.480020204741285,13.015704988982876,0.8076851414304587,0.7705455768902202,0.8763595294594395,0.7620396505073386,7
Gambar baru\Rhizophora apiculata\rhizophora_apiculata99 (2).jpg,362.75198138673204,2644.655976653099,306.06059279001624,257280.0,2.1633285450192474,0.0052050125881909146,0.00507399445947061,0.005604047108115419,0.005060010973169668,104.78260304550182,139.49202094048448,49.474674351762154,144.44182964985623,0.32522054576744913,0.3023344038342953,0.3920943033369986,0.3094082307489697,11.461166848189198,11.656723195862225,10.95835951230234,11.616048769893547,0.9861077389120445,0.9815088848393732,0.9934453973825557,0.9808528513571947,5
Gambar baru\Bruguiera cylindrica\bruguiera_cylindrica15.jpg,361.33225707096784,2213.6122596263885,307.5607698723032,260798.0,1.4951645180298625,0.0008107780308612563,0.000680036458372564,0.0010217220199125756,0.0007007852826554841,113.17755855553011,152.22516764258586,55.50407060298546,137.20832104656333,0.3063710664539887,0.2697642312516652,0.3608422202239265,0.27646955423478387,11.399909619589714,11.660779731708594,10.971704129183019,11.589867021218584,0.9413500966386797,0.9211477157326647,0.9712339882482599,0.9289264284463574,2
Gambar baru\Xylocarpus granatum\xylocarpus_granatum39.jpg,361.33225707096784,2211.7543946504593,305.42289187920005,260368.0,1.4951209487824049,0.0011934768209447126,0.0011413753943198147,0.0013470569132756026,0.001122552288091568,62.31736179060831,83.31876026822916,27.263970003670327,85.7930154985627,0.35033650601873184,0.3303345047667952,0.409883718303705,0.3281094486296789,11.39373273687162,11.558532729431349,10.971887312407397,11.562411502659362,0.9912648874734163,0.9883164045804752,0.9961765893151475,0.9879695547135767,9
Gambar baru\Rhizophora apiculata\rhizophora_apiculata56.JPG,260.78343505675355,1435.3250235319138,200.89880937026174,110083.5,1.4892527809505287,0.3468305876287531,0.34420856497352564,0.34583222215458975,0.3442264665536302,13.435241102006007,29.033965096641065,22.53495367539157,29.283412670754362,0.779883050609647,0.7604015055935749,0.8134383632654779,0.7609168629746461,4.708817769900474,4.835011668056264,4.608594910588498,4.837058372122477,0.9974603985658033,0.9945157461517826,0.995740298019068,0.9944686277573869,5
